time(sec),hr(heart rate),ppg
4.7,60,-0.95105
4.7333,60,-0.99452
4.7667,60,-0.99452
4.8,60,-0.95106
4.8333,60,-0.86603
4.8667,60,-0.74315
4.9,60,-0.58779
4.9333,60,-0.40674
4.9667,60,-0.20792
5,60,-6.5359e-06
5.0333,60,0.20791
5.0667,60,0.40673
5.1,60,0.58778
5.1333,60,0.74314
5.1667,60,0.86602
5.2,60,0.95105
5.2333,60,0.99452
5.2667,60,0.99452
5.3,60,0.95106
5.3333,60,0.86603
5.3667,60,0.74315
5.4,60,0.58779
5.4333,60,0.40674
5.4667,60,0.20792
5.5,60,7.1895e-06
5.5333,60,-0.2079
5.5667,60,-0.40673
5.6,60,-0.58778
5.6333,60,-0.74314
5.6667,60,-0.86602
5.7,60,-0.95105
5.7333,60,-0.99452
5.7667,60,-0.99452
5.8,60,-0.95106
5.8333,60,-0.86603
5.8667,60,-0.74315
5.9,60,-0.58779
5.9333,60,-0.40674
5.9667,60,-0.20792
6,60,-7.8431e-06
6.0333,60,0.2079
6.0667,60,0.40673
6.1,60,0.58778
6.1333,60,0.74314
6.1667,60,0.86602
6.2,60,0.95105
6.2333,60,0.99452
6.2667,60,0.99452
6.3,60,0.95106
6.3333,60,0.86603
6.3667,60,0.74315
6.4,60,0.58779
6.4333,60,0.40674
6.4667,60,0.20792
6.5,60,8.4967e-06
6.5333,60,-0.2079
6.5667,60,-0.40673
6.6,60,-0.58778
6.6333,60,-0.74314
6.6667,60,-0.86602
6.7,60,-0.95105
6.7333,60,-0.99452
6.7667,60,-0.99452
6.8,60,-0.95106
6.8333,60,-0.86603
6.8667,60,-0.74315
6.9,60,-0.58779
6.9333,60,-0.40674
6.9667,60,-0.20792
7,60,-9.1503e-06
7.0333,60,0.2079
7.0667,60,0.40673
7.1,60,0.58778
7.1333,60,0.74314
7.1667,60,0.86602
7.2,60,0.95105
7.2333,60,0.99452
7.2667,60,0.99452
7.3,60,0.95106
7.3333,60,0.86603
7.3667,60,0.74315
7.4,60,0.58779
7.4333,60,0.40675
7.4667,60,0.20792
7.5,60,9.8038e-06
7.5333,60,-0.2079
7.5667,60,-0.40673
7.6,60,-0.58778
7.6333,60,-0.74314
7.6667,60,-0.86602
7.7,60,-0.95105
7.7333,60,-0.99452
7.7667,60,-0.99452
7.8,60,-0.95106
7.8333,60,-0.86603
7.8667,60,-0.74315
7.9,60,-0.58779
7.9333,60,-0.40675
7.9667,60,-0.20792
8,60,-1.0457e-05
8.0333,60,0.2079
8.0667,60,0.40673
8.1,60,0.58778
8.1333,60,0.74314
8.1667,60,0.86602
8.2,60,0.95105
8.2333,60,0.99452
8.2667,60,0.99452
8.3,60,0.95106
8.3333,60,0.86603
8.3667,60,0.74315
8.4,60,0.58779
8.4333,60,0.40675
8.4667,60,0.20792
8.5,60,1.1111e-05
8.5333,60,-0.2079
8.5667,60,-0.40673
8.6,60,-0.58778
8.6333,60,-0.74314
8.6667,60,-0.86602
8.7,60,-0.95105
8.7333,60,-0.99452
8.7667,60,-0.99452
8.8,60,-0.95106
8.8333,60,-0.86603
8.8667,60,-0.74315
8.9,60,-0.58779
8.9333,60,-0.40675
8.9667,60,-0.20792
9,60,-1.1765e-05
9.0333,60,0.2079
9.0667,60,0.40673
9.1,60,0.58778
9.1333,60,0.74314
9.1667,60,0.86602
9.2,60,0.95105
9.2333,60,0.99452
9.2667,60,0.99452
9.3,60,0.95106
9.3333,60,0.86603
9.3667,60,0.74315
9.4,60,0.5878
9.4333,60,0.40675
9.4667,60,0.20792
9.5,60,1.2418e-05
9.5333,60,-0.2079
9.5667,60,-0.40673
9.6,60,-0.58778
9.6333,60,-0.74314
9.6667,60,-0.86602
9.7,60,-0.95105
9.7333,60,-0.99452
9.7667,60,-0.99452
9.8,60,-0.95106
9.8333,60,-0.86603
9.8667,60,-0.74315
9.9,60,-0.5878
9.9333,60,-0.40675
9.9667,60,-0.20792
10,60,-1.3072e-05
10.0333,60,0.2079
10.0667,60,0.40672
10.1,60,0.58777
10.1333,60,0.74314
10.1667,60,0.86602
10.2,60,0.95105
10.2333,60,0.99452
10.2667,60,0.99452
10.3,60,0.95106
10.3333,60,0.86603
10.3667,60,0.74315
10.4,60,0.5878
10.4333,60,0.40675
10.4667,60,0.20793
10.5,60,1.3725e-05
10.5333,60,-0.2079
10.5667,60,-0.40672
10.6,60,-0.58777
10.6333,60,-0.74314
10.6667,60,-0.86602
10.7,60,-0.95105
10.7333,60,-0.99452
10.7667,60,-0.99452
10.8,60,-0.95106
10.8333,60,-0.86603
10.8667,60,-0.74315
10.9,60,-0.5878
10.9333,60,-0.40675
10.9667,60,-0.20793
11,60,-1.4379e-05
11.0333,60,0.2079
11.0667,60,0.40672
11.1,60,0.58777
11.1333,60,0.74314
11.1667,60,0.86602
11.2,60,0.95105
11.2333,60,0.99452
11.2667,60,0.99452
11.3,60,0.95106
11.3333,60,0.86603
11.3667,60,0.74315
11.4,60,0.5878
11.4333,60,0.40675
11.4667,60,0.20793
11.5,60,1.5033e-05
11.5333,60,-0.2079
11.5667,60,-0.40672
11.6,60,-0.58777
11.6333,60,-0.74313
11.6667,60,-0.86602
11.7,60,-0.95105
11.7333,60,-0.99452
11.7667,60,-0.99452
11.8,60,-0.95106
11.8333,60,-0.86603
11.8667,60,-0.74316
11.9,60,-0.5878
11.9333,60,-0.40675
11.9667,60,-0.20793
12,60,-1.5686e-05
12.0333,60,0.2079
12.0667,60,0.40672
12.1,60,0.58777
12.1333,60,0.74313
12.1667,60,0.86602
12.2,60,0.95105
12.2333,60,0.99452
12.2667,60,0.99452
12.3,60,0.95106
12.3333,60,0.86603
12.3667,60,0.74316
12.4,60,0.5878
12.4333,60,0.40675
12.4667,60,0.20793
12.5,60,1.634e-05
12.5333,60,-0.2079
12.5667,60,-0.40672
12.6,60,-0.58777
12.6333,60,-0.74313
12.6667,60,-0.86602
12.7,60,-0.95105
12.7333,60,-0.99452
12.7667,60,-0.99452
12.8,60,-0.95106
12.8333,60,-0.86603
12.8667,60,-0.74316
12.9,60,-0.5878
12.9333,60,-0.40675
12.9667,60,-0.20793
13,60,-1.6993e-05
13.0333,60,0.2079
13.0667,60,0.40672
13.1,60,0.58777
13.1333,60,0.74313
13.1667,60,0.86602
13.2,60,0.95105
13.2333,60,0.99452
13.2667,60,0.99452
13.3,60,0.95106
13.3333,60,0.86603
13.3667,60,0.74316
13.4,60,0.5878
13.4333,60,0.40675
13.4667,60,0.20793
13.5,60,1.7647e-05
13.5333,60,-0.20789
13.5667,60,-0.40672
13.6,60,-0.58777
13.6333,60,-0.74313
13.6667,60,-0.86602
13.7,60,-0.95105
13.7333,60,-0.99452
13.7667,60,-0.99452
13.8,60,-0.95106
13.8333,60,-0.86603
13.8667,60,-0.74316
13.9,60,-0.5878
13.9333,60,-0.40675
13.9667,60,-0.20793
14,60,-1.8301e-05
14.0333,60,0.20789
14.0667,60,0.40672
14.1,60,0.58777
14.1333,60,0.74313
14.1667,60,0.86602
14.2,60,0.95105
14.2333,60,0.99452
14.2667,60,0.99452
14.3,60,0.95106
14.3333,60,0.86603
14.3667,60,0.74316
14.4,60,0.5878
14.4333,60,0.40675
14.4667,60,0.20793
14.5,60,1.8954e-05
14.5333,60,-0.20789
14.5667,60,-0.40672
14.6,60,-0.58777
14.6333,60,-0.74313
14.6667,60,-0.86602
14.7,60,-0.95105
14.7333,60,-0.99452
14.7667,60,-0.99452
14.8,60,-0.95106
14.8333,60,-0.86604
14.8667,60,-0.74316
14.9,60,-0.5878
14.9333,60,-0.40675
14.9667,60,-0.20793
15,60,-1.9608e-05
15.0333,60,0.20789
15.0667,60,0.40672
15.1,60,0.58777
15.1333,60,0.74313
15.1667,60,0.86602
15.2,60,0.95105
15.2333,60,0.99452
15.2667,60,0.99452
15.3,60,0.95106
15.3333,60,0.86604
15.3667,60,0.74316
15.4,60,0.5878
15.4333,60,0.40676
15.4667,60,0.20793
15.5,60,2.0261e-05
15.5333,60,-0.20789
15.5667,60,-0.40672
15.6,60,-0.58777
15.6333,60,-0.74313
15.6667,60,-0.86602
15.7,60,-0.95105
15.7333,60,-0.99452
15.7667,60,-0.99452
15.8,60,-0.95106
15.8333,60,-0.86604
15.8667,60,-0.74316
15.9,60,-0.5878
15.9333,60,-0.40676
15.9667,60,-0.20793
16,60,-2.0915e-05
16.0333,60,0.20789
16.0667,60,0.40672
16.1,60,0.58777
16.1333,60,0.74313
16.1667,60,0.86601
16.2,60,0.95105
16.2333,60,0.99452
16.2667,60,0.99452
16.3,60,0.95106
16.3333,60,0.86604
16.3667,60,0.74316
16.4,60,0.5878
16.4333,60,0.40676
16.4667,60,0.20793
16.5,60,2.1568e-05
16.5333,60,-0.20789
16.5667,60,-0.40672
16.6,60,-0.58777
16.6333,60,-0.74313
16.6667,60,-0.86601
16.7,60,-0.95105
16.7333,60,-0.99452
16.7667,60,-0.99452
16.8,60,-0.95106
16.8333,60,-0.86604
16.8667,60,-0.74316
16.9,60,-0.5878
16.9333,60,-0.40676
16.9667,60,-0.20793
17,60,-2.2222e-05
17.0333,60,0.20789
17.0667,60,0.40672
17.1,60,0.58777
17.1333,60,0.74313
17.1667,60,0.86601
17.2,60,0.95105
17.2333,60,0.99452
17.2667,60,0.99452
17.3,60,0.95106
17.3333,60,0.86604
17.3667,60,0.74316
17.4,60,0.5878
17.4333,60,0.40676
17.4667,60,0.20793
17.5,60,2.2876e-05
17.5333,60,-0.20789
17.5667,60,-0.40672
17.6,60,-0.58777
17.6333,60,-0.74313
17.6667,60,-0.86601
17.7,60,-0.95105
17.7333,60,-0.99452
17.7667,60,-0.99452
17.8,60,-0.95106
17.8333,60,-0.86604
17.8667,60,-0.74316
17.9,60,-0.5878
17.9333,60,-0.40676
17.9667,60,-0.20793
18,60,-2.3529e-05
18.0333,60,0.20789
18.0667,60,0.40672
18.1,60,0.58777
18.1333,60,0.74313
18.1667,60,0.86601
18.2,60,0.95105
18.2333,60,0.99452
18.2667,60,0.99452
18.3,60,0.95106
18.3333,60,0.86604
18.3667,60,0.74316
18.4,60,0.5878
18.4333,60,0.40676
18.4667,60,0.20794
18.5,60,2.4183e-05
18.5333,60,-0.20789
18.5667,60,-0.40671
18.6,60,-0.58777
18.6333,60,-0.74313
18.6667,60,-0.86601
18.7,60,-0.95105
18.7333,60,-0.99452
18.7667,60,-0.99452
18.8,60,-0.95106
18.8333,60,-0.86604
18.8667,60,-0.74316
18.9,60,-0.58781
18.9333,60,-0.40676
18.9667,60,-0.20794
19,60,-2.4836e-05
19.0333,60,0.20789
19.0667,60,0.40671
19.1,60,0.58777
19.1333,60,0.74313
19.1667,60,0.86601
19.2,60,0.95105
19.2333,60,0.99452
19.2667,60,0.99452
19.3,60,0.95106
19.3333,60,0.86604
19.3667,60,0.74316
19.4,60,0.58781
19.4333,60,0.40676
19.4667,60,0.20794
19.5,60,2.549e-05
19.5333,60,-0.20789
19.5667,60,-0.40671
19.6,60,-0.58776
19.6333,60,-0.74313
19.6667,60,-0.86601
19.7,60,-0.95105
19.7333,60,-0.99452
19.7667,60,-0.99452
19.8,60,-0.95106
19.8333,60,-0.86604
19.8667,60,-0.74316
19.9,60,-0.58781
19.9333,60,-0.40676
19.9667,60,-0.20794
20,60,-2.6144e-05
20.0333,60,0.20789
20.0667,60,0.40671
20.1,60,0.58776
20.1333,60,0.74313
20.1667,60,0.86601
20.2,60,0.95105
20.2333,60,0.99452
20.2667,60,0.99452
20.3,60,0.95106
20.3333,60,0.86604
20.3667,60,0.74316
20.4,60,0.58781
20.4333,60,0.40676
20.4667,60,0.20794
20.5,60,2.6797e-05
20.5333,60,-0.20789
20.5667,60,-0.40671
20.6,60,-0.58776
20.6333,60,-0.74313
20.6667,60,-0.86601
20.7,60,-0.95105
20.7333,60,-0.99452
20.7667,60,-0.99452
20.8,60,-0.95106
20.8333,60,-0.86604
20.8667,60,-0.74316
20.9,60,-0.58781
20.9333,60,-0.40676
20.9667,60,-0.20794
21,60,-2.7451e-05
21.0333,60,0.20788
21.0667,60,0.40671
21.1,60,0.58776
21.1333,60,0.74313
21.1667,60,0.86601
21.2,60,0.95105
21.2333,60,0.99452
21.2667,60,0.99452
21.3,60,0.95107
21.3333,60,0.86604
21.3667,60,0.74316
21.4,60,0.58781
21.4333,60,0.40676
21.4667,60,0.20794
21.5,60,2.8104e-05
21.5333,60,-0.20788
21.5667,60,-0.40671
21.6,60,-0.58776
21.6333,60,-0.74313
21.6667,60,-0.86601
21.7,60,-0.95105
21.7333,60,-0.99452
21.7667,60,-0.99452
21.8,60,-0.95107
21.8333,60,-0.86604
21.8667,60,-0.74316
21.9,60,-0.58781
21.9333,60,-0.40676
21.9667,60,-0.20794
22,60,-2.8758e-05
22.0333,60,0.20788
22.0667,60,0.40671
22.1,60,0.58776
22.1333,60,0.74313
22.1667,60,0.86601
22.2,60,0.95105
22.2333,60,0.99452
22.2667,60,0.99452
22.3,60,0.95107
22.3333,60,0.86604
22.3667,60,0.74316
22.4,60,0.58781
22.4333,60,0.40676
22.4667,60,0.20794
22.5,60,2.9412e-05
22.5333,60,-0.20788
22.5667,60,-0.40671
22.6,60,-0.58776
22.6333,60,-0.74313
22.6667,60,-0.86601
22.7,60,-0.95105
22.7333,60,-0.99452
22.7667,60,-0.99453
22.8,60,-0.95107
22.8333,60,-0.86604
22.8667,60,-0.74316
22.9,60,-0.58781
22.9333,60,-0.40676
22.9667,60,-0.20794
23,60,-3.0065e-05
23.0333,60,0.20788
23.0667,60,0.40671
23.1,60,0.58776
23.1333,60,0.74312
23.1667,60,0.86601
23.2,60,0.95105
23.2333,60,0.99452
23.2667,60,0.99453
23.3,60,0.95107
23.3333,60,0.86604
23.3667,60,0.74317
23.4,60,0.58781
23.4333,60,0.40676
23.4667,60,0.20794
23.5,60,3.0719e-05
23.5333,60,-0.20788
23.5667,60,-0.40671
23.6,60,-0.58776
23.6333,60,-0.74312
23.6667,60,-0.86601
23.7,60,-0.95105
23.7333,60,-0.99452
23.7667,60,-0.99453
23.8,60,-0.95107
23.8333,60,-0.86604
23.8667,60,-0.74317
23.9,60,-0.58781
23.9333,60,-0.40677
23.9667,60,-0.20794
24,60,-3.1372e-05
24.0333,60,0.20788
24.0667,60,0.40671
24.1,60,0.58776
24.1333,60,0.74312
24.1667,60,0.86601
24.2,60,0.95105
24.2333,60,0.99452
24.2667,60,0.99453
24.3,60,0.95107
24.3333,60,0.86604
24.3667,60,0.74317
24.4,60,0.58781
24.4333,60,0.40677
24.4667,60,0.20794
24.5,60,3.2026e-05
24.5333,60,-0.20788
24.5667,60,-0.40671
24.6,60,-0.58776
24.6333,60,-0.74312
24.6667,60,-0.86601
24.7,60,-0.95105
24.7333,60,-0.99452
24.7667,60,-0.99453
24.8,60,-0.95107
24.8333,60,-0.86604
24.8667,60,-0.74317
24.9,60,-0.58781
24.9333,60,-0.40677
24.9667,60,-0.20794
25,60,-3.2679e-05
25.0333,60,0.20788
25.0667,60,0.40671
25.1,60,0.58776
25.1333,60,0.74312
25.1667,60,0.86601
25.2,60,0.95105
25.2333,60,0.99452
25.2667,60,0.99453
25.3,60,0.95107
25.3333,60,0.86604
25.3667,60,0.74317
25.4,60,0.58781
25.4333,60,0.40677
25.4667,60,0.20794
25.5,60,3.3333e-05
25.5333,60,-0.20788
25.5667,60,-0.40671
25.6,60,-0.58776
25.6333,60,-0.74312
25.6667,60,-0.86601
25.7,60,-0.95105
25.7333,60,-0.99452
25.7667,60,-0.99453
25.8,60,-0.95107
25.8333,60,-0.86604
25.8667,60,-0.74317
25.9,60,-0.58781
25.9333,60,-0.40677
25.9667,60,-0.20794
26,60,-3.3987e-05
26.0333,60,0.20788
26.0667,60,0.40671
26.1,60,0.58776
26.1333,60,0.74312
26.1667,60,0.86601
26.2,60,0.95105
26.2333,60,0.99452
26.2667,60,0.99453
26.3,60,0.95107
26.3333,60,0.86604
26.3667,60,0.74317
26.4,60,0.58781
26.4333,60,0.40677
26.4667,60,0.20795
26.5,60,3.464e-05
26.5333,60,-0.20788
26.5667,60,-0.4067
26.6,60,-0.58776
26.6333,60,-0.74312
26.6667,60,-0.86601
26.7,60,-0.95105
26.7333,60,-0.99452
26.7667,60,-0.99453
26.8,60,-0.95107
26.8333,60,-0.86604
26.8667,60,-0.74317
26.9,60,-0.58781
26.9333,60,-0.40677
26.9667,60,-0.20795
27,60,-3.5294e-05
27.0333,60,0.20788
27.0667,60,0.4067
27.1,60,0.58776
27.1333,60,0.74312
27.1667,60,0.86601
27.2,60,0.95105
27.2333,60,0.99452
27.2667,60,0.99453
27.3,60,0.95107
27.3333,60,0.86604
27.3667,60,0.74317
27.4,60,0.58781
27.4333,60,0.40677
27.4667,60,0.20795
27.5,60,3.5947e-05
27.5333,60,-0.20788
27.5667,60,-0.4067
27.6,60,-0.58776
27.6333,60,-0.74312
27.6667,60,-0.86601
27.7,60,-0.95105
27.7333,60,-0.99452
27.7667,60,-0.99453
27.8,60,-0.95107
27.8333,60,-0.86604
27.8667,60,-0.74317
27.9,60,-0.58781
27.9333,60,-0.40677
27.9667,60,-0.20795
28,60,-3.6601e-05
28.0333,60,0.20788
28.0667,60,0.4067
28.1,60,0.58776
28.1333,60,0.74312
28.1667,60,0.86601
28.2,60,0.95105
28.2333,60,0.99452
28.2667,60,0.99453
28.3,60,0.95107
28.3333,60,0.86604
28.3667,60,0.74317
28.4,60,0.58782
28.4333,60,0.40677
28.4667,60,0.20795
28.5,60,3.7255e-05
28.5333,60,-0.20788
28.5667,60,-0.4067
28.6,60,-0.58776
28.6333,60,-0.74312
28.6667,60,-0.86601
28.7,60,-0.95104
28.7333,60,-0.99452
28.7667,60,-0.99453
28.8,60,-0.95107
28.8333,60,-0.86604
28.8667,60,-0.74317
28.9,60,-0.58782
28.9333,60,-0.40677
28.9667,60,-0.20795
29,60,-3.7908e-05
29.0333,60,0.20787
29.0667,60,0.4067
29.1,60,0.58775
29.1333,60,0.74312
29.1667,60,0.86601
29.2,60,0.95104
29.2333,60,0.99452
29.2667,60,0.99453
29.3,60,0.95107
29.3333,60,0.86604
29.3667,60,0.74317
29.4,60,0.58782
29.4333,60,0.40677
29.4667,60,0.20795
29.5,60,3.8562e-05
29.5333,60,-0.20787
29.5667,60,-0.4067
29.6,60,-0.58775
29.6333,60,-0.74312
29.6667,60,-0.86601
29.7,60,-0.95104
29.7333,60,-0.99452
29.7667,60,-0.99453
29.8,60,-0.95107
29.8333,60,-0.86604
29.8667,60,-0.74317
29.9,60,-0.58782
29.9333,60,-0.40677
29.9667,60,-0.20795
30,60,-3.9215e-05
30.0333,60,0.20787
30.0667,60,0.4067
30.1,60,0.58775
30.1333,60,0.74312
30.1667,60,0.86601
30.2,60,0.95104
30.2333,60,0.99452
30.2667,60,0.99453
30.3,60,0.95107
30.3333,60,0.86605
30.3667,60,0.74317
30.4,60,0.58782
30.4333,60,0.40677
30.4667,60,0.20795
30.5,60,3.9869e-05
30.5333,60,-0.20787
30.5667,60,-0.4067
30.6,60,-0.58775
30.6333,60,-0.74312
30.6667,60,-0.86601
30.7,60,-0.95104
30.7333,60,-0.99452
30.7667,60,-0.99453
30.8,60,-0.95107
30.8333,60,-0.86605
30.8667,60,-0.74317
30.9,60,-0.58782
30.9333,60,-0.40677
30.9667,60,-0.20795
31,60,-4.0523e-05
31.0333,60,0.20787
31.0667,60,0.4067
31.1,60,0.58775
31.1333,60,0.74312
31.1667,60,0.86601
31.2,60,0.95104
31.2333,60,0.99452
31.2667,60,0.99453
31.3,60,0.95107
31.3333,60,0.86605
31.3667,60,0.74317
31.4,60,0.58782
31.4333,60,0.40677
31.4667,60,0.20795
31.5,60,4.1176e-05
31.5333,60,-0.20787
31.5667,60,-0.4067
31.6,60,-0.58775
31.6333,60,-0.74312
31.6667,60,-0.866
31.7,60,-0.95104
31.7333,60,-0.99452
31.7667,60,-0.99453
31.8,60,-0.95107
31.8333,60,-0.86605
31.8667,60,-0.74317
31.9,60,-0.58782
31.9333,60,-0.40677
31.9667,60,-0.20795
32,60,-4.183e-05
32.0333,60,0.20787
32.0667,60,0.4067
32.1,60,0.58775
32.1333,60,0.74312
32.1667,60,0.866
32.2,60,0.95104
32.2333,60,0.99452
32.2667,60,0.99453
32.3,60,0.95107
32.3333,60,0.86605
32.3667,60,0.74317
32.4,60,0.58782
32.4333,60,0.40678
32.4667,60,0.20795
32.5,60,4.2483e-05
32.5333,60,-0.20787
32.5667,60,-0.4067
32.6,60,-0.58775
32.6333,60,-0.74312
32.6667,60,-0.866
32.7,60,-0.95104
32.7333,60,-0.99452
32.7667,60,-0.99453
32.8,60,-0.95107
32.8333,60,-0.86605
32.8667,60,-0.74317
32.9,60,-0.58782
32.9333,60,-0.40678
32.9667,60,-0.20795
33,60,-4.3137e-05
33.0333,60,0.20787
33.0667,60,0.4067
33.1,60,0.58775
33.1333,60,0.74312
33.1667,60,0.866
33.2,60,0.95104
33.2333,60,0.99452
33.2667,60,0.99453
33.3,60,0.95107
33.3333,60,0.86605
33.3667,60,0.74317
33.4,60,0.58782
33.4333,60,0.40678
33.4667,60,0.20795
33.5,60,4.3791e-05
33.5333,60,-0.20787
33.5667,60,-0.4067
33.6,60,-0.58775
33.6333,60,-0.74312
33.6667,60,-0.866
33.7,60,-0.95104
33.7333,60,-0.99452
33.7667,60,-0.99453
33.8,60,-0.95107
33.8333,60,-0.86605
33.8667,60,-0.74317
33.9,60,-0.58782
33.9333,60,-0.40678
33.9667,60,-0.20796
34,60,-4.4444e-05
34.0333,60,0.20787
34.0667,60,0.4067
34.1,60,0.58775
34.1333,60,0.74311
34.1667,60,0.866
34.2,60,0.95104
34.2333,60,0.99452
34.2667,60,0.99453
34.3,60,0.95107
34.3333,60,0.86605
34.3667,60,0.74317
34.4,60,0.58782
34.4333,60,0.40678
34.4667,60,0.20796
34.5,60,4.5098e-05
34.5333,60,-0.20787
34.5667,60,-0.4067
34.6,60,-0.58775
34.6333,60,-0.74311
34.6667,60,-0.866
34.7,60,-0.95104
34.7333,60,-0.99452
34.7667,60,-0.99453
34.8,60,-0.95107
34.8333,60,-0.86605
34.8667,60,-0.74318
34.9,60,-0.58782
34.9333,60,-0.40678
34.9667,60,-0.20796
35,60,-4.5751e-05
35.0333,60,0.20787
35.0667,60,0.40669
35.1,60,0.58775
35.1333,60,0.74311
35.1667,60,0.866
35.2,60,0.95104
35.2333,60,0.99452
35.2667,60,0.99453
35.3,60,0.95107
35.3333,60,0.86605
35.3667,60,0.74318
35.4,60,0.58782
35.4333,60,0.40678
35.4667,60,0.20796
35.5,60,4.6405e-05
35.5333,60,-0.20787
35.5667,60,-0.40669
35.6,60,-0.58775
35.6333,60,-0.74311
35.6667,60,-0.866
35.7,60,-0.95104
35.7333,60,-0.99452
35.7667,60,-0.99453
35.8,60,-0.95107
35.8333,60,-0.86605
35.8667,60,-0.74318
35.9,60,-0.58782
35.9333,60,-0.40678
35.9667,60,-0.20796
36,60,-4.7058e-05
36.0333,60,0.20787
36.0667,60,0.40669
36.1,60,0.58775
36.1333,60,0.74311
36.1667,60,0.866
36.2,60,0.95104
36.2333,60,0.99452
36.2667,60,0.99453
36.3,60,0.95107
36.3333,60,0.86605
36.3667,60,0.74318
36.4,60,0.58782
36.4333,60,0.40678
36.4667,60,0.20796
36.5,60,4.7712e-05
36.5333,60,-0.20786
36.5667,60,-0.40669
36.6,60,-0.58775
36.6333,60,-0.74311
36.6667,60,-0.866
36.7,60,-0.95104
36.7333,60,-0.99452
36.7667,60,-0.99453
36.8,60,-0.95107
36.8333,60,-0.86605
36.8667,60,-0.74318
36.9,60,-0.58782
36.9333,60,-0.40678
36.9667,60,-0.20796
37,60,-4.8366e-05
37.0333,60,0.20786
37.0667,60,0.40669
37.1,60,0.58775
37.1333,60,0.74311
37.1667,60,0.866
37.2,60,0.95104
37.2333,60,0.99452
37.2667,60,0.99453
37.3,60,0.95107
37.3333,60,0.86605
37.3667,60,0.74318
37.4,60,0.58782
37.4333,60,0.40678
37.4667,60,0.20796
37.5,60,4.9019e-05
37.5333,60,-0.20786
37.5667,60,-0.40669
37.6,60,-0.58775
37.6333,60,-0.74311
37.6667,60,-0.866
37.7,60,-0.95104
37.7333,60,-0.99452
37.7667,60,-0.99453
37.8,60,-0.95107
37.8333,60,-0.86605
37.8667,60,-0.74318
37.9,60,-0.58783
